transaction_id,customer_id,transaction_date,transaction_type,amount
BANK-C039-1-01,C039,2026-05-16,出金,9930
BANK-C039-2-01,C039,2026-05-24,入金,8330
BANK-C039-2-00,C039,2026-05-28,入金,14620
BANK-C039-2-03,C039,2026-06-01,出金,9210
BANK-C039-2-04,C039,2026-06-05,入金,11595
BANK-C039-2-02,C039,2026-06-12,入金,13520
BANK-C039-3-01,C039,2026-06-23,出金,7380
BANK-C039-3-00,C039,2026-06-24,入金,13990
BANK-C039-3-02,C039,2026-07-06,入金,17310
BANK-C039-3-03,C039,2026-07-12,入金,10239
BANK-C040-0-02,C040,2026-04-01,出金,19543
BANK-C040-0-00,C040,2026-04-04,入金,21460
BANK-C040-0-01,C040,2026-04-06,入金,14960
BANK-C040-1-02,C040,2026-04-21,出金,25141
BANK-C040-1-00,C040,2026-05-03,入金,17590
BANK-C040-1-01,C040,2026-05-07,入金,12700
BANK-C040-2-01,C040,2026-05-21,入金,19740
BANK-C040-2-00,C040,2026-05-23,入金,22200
BANK-C040-2-02,C040,2026-05-29,出金,12411
BANK-C040-3-00,C040,2026-06-20,出金,20170
BANK-C040-3-03,C040,2026-06-25,入金,7448
BANK-C040-3-01,C040,2026-07-04,入金,24490
BANK-C040-3-02,C040,2026-07-04,入金,6910
BANK-C041-0-01,C041,2026-04-05,入金,22873
BANK-C041-0-00,C041,2026-04-17,出金,19760
BANK-C041-1-00,C041,2026-04-18,出金,16150
BANK-C041-1-01,C041,2026-05-05,入金,13394
BANK-C041-2-00,C041,2026-06-11,入金,20148
BANK-C041-3-00,C041,2026-07-12,出金,15233
BANK-C042-0-00,C042,2026-03-22,入金,15450
BANK-C042-0-01,C042,2026-03-22,出金,21320
BANK-C042-0-02,C042,2026-03-26,出金,18641
BANK-C042-1-00,C042,2026-04-23,出金,28470
BANK-C042-1-02,C042,2026-04-23,出金,19153
BANK-C042-1-01,C042,2026-05-16,入金,13390
BANK-C042-2-00,C042,2026-05-31,入金,24670
BANK-C042-2-01,C042,2026-06-05,出金,12090
BANK-C042-2-03,C042,2026-06-06,出金,19813
BANK-C042-2-02,C042,2026-06-14,入金,6640
BANK-C042-3-00,C042,2026-06-30,入金,21150
BANK-C042-3-02,C042,2026-07-01,出金,10110
BANK-C042-3-03,C042,2026-07-01,入金,21105
BANK-C042-3-01,C042,2026-07-09,入金,13940
BANK-C045-0-00,C045,2026-03-25,入金,10920
BANK-C045-0-05,C045,2026-03-26,入金,14310
BANK-C045-0-04,C045,2026-03-27,出金,16480
BANK-C045-0-07,C045,2026-03-28,出金,10389
BANK-C045-0-01,C045,2026-03-29,入金,7590
BANK-C045-0-02,C045,2026-03-30,入金,6730
BANK-C045-0-03,C045,2026-03-31,入金,5780
BANK-C045-0-06,C045,2026-04-10,出金,7060
BANK-C045-1-04,C045,2026-04-18,入金,9270
BANK-C045-1-00,C045,2026-04-20,入金,11200
BANK-C045-1-05,C045,2026-04-30,入金,8150
BANK-C045-1-01,C045,2026-05-02,出金,6480
BANK-C045-1-06,C045,2026-05-06,出金,8912
BANK-C045-1-02,C045,2026-05-10,入金,11010
BANK-C045-1-03,C045,2026-05-13,入金,11770
BANK-C045-2-02,C045,2026-05-25,入金,9600
BANK-C045-2-00,C045,2026-05-26,入金,7900
BANK-C045-2-03,C045,2026-05-26,入金,12320
BANK-C045-2-01,C045,2026-05-29,入金,8320
BANK-C045-2-04,C045,2026-05-29,出金,14480
BANK-C045-2-05,C045,2026-06-16,出金,4930
BANK-C045-3-03,C045,2026-06-23,出金,12470
BANK-C045-3-01,C045,2026-07-03,出金,8530
BANK-C045-3-00,C045,2026-07-06,出金,13980
BANK-C045-3-02,C045,2026-07-12,出金,5270
BANK-C045-3-04,C045,2026-07-14,出金,10278
BANK-C046-0-00,C046,2026-04-01,入金,16210
BANK-C046-0-01,C046,2026-04-16,入金,20962
BANK-C046-1-00,C046,2026-04-24,出金,23210
BANK-C046-1-01,C046,2026-05-07,入金,16233
BANK-C046-2-00,C046,2026-05-21,出金,29170
BANK-C046-2-01,C046,2026-05-26,入金,11172
BANK-C046-3-00,C046,2026-07-01,入金,23330
BANK-C046-3-01,C046,2026-07-04,入金,10380
BANK-C046-3-02,C046,2026-07-11,出金,9275
BANK-C049-0-01,C049,2026-03-23,出金,22530
BANK-C049-0-03,C049,2026-03-23,出金,9170
BANK-C049-0-00,C049,2026-04-03,出金,15300
BANK-C049-0-02,C049,2026-04-15,出金,13340
BANK-C049-1-03,C049,2026-04-21,入金,17830
BANK-C049-1-01,C049,2026-04-23,入金,15050
BANK-C049-1-00,C049,2026-05-02,出金,9190
BANK-C049-1-02,C049,2026-05-10,出金,11190
BANK-C049-1-04,C049,2026-05-10,出金,12716
BANK-C049-2-00,C049,2026-05-18,入金,11360
BANK-C049-2-01,C049,2026-05-27,出金,19010
BANK-C049-2-02,C049,2026-06-01,入金,21240
BANK-C049-2-03,C049,2026-06-03,入金,7820
BANK-C049-2-04,C049,2026-06-12,出金,13872
BANK-C049-3-03,C049,2026-06-28,入金,15090
BANK-C049-3-00,C049,2026-07-01,入金,11730
BANK-C049-3-02,C049,2026-07-03,入金,12580
BANK-C049-3-01,C049,2026-07-07,入金,15490
BANK-C049-3-04,C049,2026-07-12,入金,17404
BANK-C052-0-03,C052,2026-03-23,出金,10110
BANK-C052-0-04,C052,2026-04-08,出金,25239
BANK-C052-0-02,C052,2026-04-11,入金,20450
BANK-C052-0-01,C052,2026-04-12,出金,16180
BANK-C052-0-00,C052,2026-04-13,出金,7350
BANK-C052-1-00,C052,2026-04-26,入金,18630
BANK-C052-1-02,C052,2026-04-30,入金,7860
BANK-C052-1-03,C052,2026-05-02,出金,20390
BANK-C052-1-01,C052,2026-05-03,入金,12060
BANK-C052-1-04,C052,2026-05-10,入金,20453
BANK-C052-2-04,C052,2026-05-21,出金,8469
BANK-C052-2-00,C052,2026-05-22,入金,17590
BANK-C052-2-02,C052,2026-06-07,出金,17550
BANK-C052-2-01,C052,2026-06-15,出金,26780
BANK-C052-2-03,C052,2026-06-16,入金,16500
BANK-C052-3-01,C052,2026-06-19,入金,10050
BANK-C052-3-03,C052,2026-06-26,入金,18710
BANK-C052-3-04,C052,2026-06-28,出金,25656
BANK-C052-3-00,C052,2026-06-30,出金,16340
BANK-C052-3-02,C052,2026-07-06,入金,20750
BANK-C053-0-00,C053,2026-03-29,出金,20892
BANK-C053-1-00,C053,2026-04-19,入金,15798
BANK-C053-2-00,C053,2026-06-05,出金,11812
BANK-C053-3-00,C053,2026-07-01,出金,9008
BANK-C054-0-06,C054,2026-03-23,入金,4696
BANK-C054-0-05,C054,2026-03-27,出金,8190
BANK-C054-0-01,C054,2026-04-02,入金,7660
BANK-C054-0-04,C054,2026-04-08,入金,3440
BANK-C054-0-00,C054,2026-04-10,入金,6230
BANK-C054-0-02,C054,2026-04-11,出金,5940
BANK-C054-0-03,C054,2026-04-11,出金,9420
BANK-C054-1-03,C054,2026-04-18,出金,6440
BANK-C054-1-00,C054,2026-04-19,出金,4270
BANK-C054-1-01,C054,2026-04-19,入金,11220
BANK-C054-1-04,C054,2026-04-22,入金,6545
BANK-C054-1-02,C054,2026-04-27,出金,3830
BANK-C054-2-00,C054,2026-05-22,出金,3750
BANK-C054-2-01,C054,2026-05-31,入金,6420
BANK-C054-2-02,C054,2026-06-04,入金,5340
BANK-C054-2-03,C054,2026-06-05,出金,8254
BANK-C054-3-00,C054,2026-06-17,出金,5250
BANK-C054-3-01,C054,2026-06-19,出金,11148
BANK-C055-0-02,C055,2026-03-23,入金,9930
BANK-C055-0-00,C055,2026-03-29,出金,12710
BANK-C055-0-01,C055,2026-04-04,出金,11070
BANK-C055-1-01,C055,2026-04-26,出金,11190
BANK-C055-1-00,C055,2026-05-09,出金,9580
BANK-C055-1-02,C055,2026-05-13,入金,8837
BANK-C055-2-00,C055,2026-05-18,出金,8900
BANK-C055-2-01,C055,2026-05-31,出金,11810
BANK-C055-2-02,C055,2026-06-02,出金,5371
BANK-C055-3-00,C055,2026-06-26,入金,7590
BANK-C055-3-01,C055,2026-07-02,出金,15970
BANK-C059-0-07,C059,2026-03-20,出金,5780
BANK-C059-0-02,C059,2026-03-21,出金,3760
BANK-C059-0-04,C059,2026-03-29,出金,6050
BANK-C059-0-09,C059,2026-03-31,出金,4310
BANK-C059-0-08,C059,2026-04-01,入金,3600
BANK-C059-0-01,C059,2026-04-09,入金,4230
BANK-C059-0-03,C059,2026-04-12,入金,7610
BANK-C059-0-10,C059,2026-04-14,入金,7096
BANK-C059-0-06,C059,2026-04-16,入金,6540
BANK-C059-0-00,C059,2026-04-17,入金,6940
BANK-C059-0-05,C059,2026-04-17,出金,9350
BANK-C059-1-02,C059,2026-04-24,出金,8010
BANK-C059-1-06,C059,2026-04-25,入金,5010
BANK-C059-1-08,C059,2026-04-25,出金,7702
BANK-C059-1-07,C059,2026-04-27,入金,8130
BANK-C059-1-00,C059,2026-04-30,入金,4670
BANK-C059-1-03,C059,2026-04-30,出金,4070
BANK-C059-1-04,C059,2026-05-01,出金,4300
BANK-C059-1-01,C059,2026-05-06,出金,4560
BANK-C059-1-05,C059,2026-05-15,入金,3920
BANK-C059-2-04,C059,2026-05-18,出金,7070
BANK-C059-2-00,C059,2026-05-20,入金,9400
BANK-C059-2-01,C059,2026-05-20,出金,4960
BANK-C059-2-05,C059,2026-05-22,入金,4148
BANK-C059-2-03,C059,2026-06-10,出金,6580
BANK-C059-2-02,C059,2026-06-12,出金,4900
BANK-C059-3-03,C059,2026-06-17,出金,7800
BANK-C059-3-02,C059,2026-06-18,入金,2550
BANK-C059-3-01,C059,2026-06-21,出金,4940
BANK-C059-3-04,C059,2026-07-02,出金,6813
BANK-C059-3-00,C059,2026-07-07,入金,5230
