campaign_id,customer_id,sent_date,campaign_type,response,cost
CMP0037,C029,2026-05-21,カード利用特典案内,反応あり,200
CMP0038,C030,2026-06-14,EC再訪促進メール,反応なし,0
CMP0039,C031,2026-07-01,QR決済ポイント還元,反応あり,200
CMP0040,C031,2026-05-17,EC再訪促進メール,反応なし,200
CMP0041,C031,2026-05-31,複数サービス横断ポイント施策,開封のみ,300
CMP0042,C032,2026-04-21,EC再訪促進メール,反応あり,0
CMP0043,C032,2026-04-02,QR決済ポイント還元,反応あり,100
CMP0044,C033,2026-04-28,EC再訪促進メール,反応なし,500
CMP0045,C033,2026-06-09,EC再訪促進メール,反応あり,200
CMP0046,C034,2026-05-13,複数サービス横断ポイント施策,反応なし,200
CMP0047,C036,2026-03-13,EC再訪促進メール,反応なし,300
CMP0048,C036,2026-05-08,QR決済ポイント還元,反応あり,300
CMP0049,C036,2026-06-14,QR決済ポイント還元,反応なし,300
CMP0050,C037,2026-03-06,複数サービス横断ポイント施策,反応あり,200
CMP0051,C037,2026-05-12,EC再訪促進メール,反応あり,100
CMP0052,C039,2026-03-28,カード利用特典案内,開封のみ,0
CMP0053,C040,2026-03-05,EC再訪促進メール,反応あり,0
CMP0054,C040,2026-02-18,EC再訪促進メール,開封のみ,300
CMP0055,C040,2026-02-25,カード利用特典案内,反応あり,0
CMP0056,C041,2026-04-11,QR決済ポイント還元,反応あり,300
CMP0057,C041,2026-04-17,EC再訪促進メール,反応なし,0
CMP0058,C042,2026-05-27,カード利用特典案内,反応なし,100
CMP0059,C042,2026-04-21,カード利用特典案内,反応なし,0
CMP0060,C042,2026-02-16,カード利用特典案内,反応あり,200
CMP0061,C043,2026-03-19,EC再訪促進メール,反応あり,200
CMP0062,C043,2026-04-09,QR決済ポイント還元,反応なし,100
CMP0063,C044,2026-06-06,カード利用特典案内,反応あり,200
CMP0064,C044,2026-04-07,カード利用特典案内,反応なし,100
CMP0065,C044,2026-05-08,EC再訪促進メール,反応あり,200
CMP0066,C045,2026-06-11,カード利用特典案内,反応なし,200
CMP0067,C047,2026-06-21,カード利用特典案内,反応なし,300
CMP0068,C049,2026-06-18,QR決済ポイント還元,反応あり,500
CMP0069,C051,2026-06-21,複数サービス横断ポイント施策,反応なし,300
CMP0070,C051,2026-06-04,カード利用特典案内,反応あり,500
CMP0071,C051,2026-04-29,EC再訪促進メール,反応あり,100
CMP0072,C052,2026-06-05,EC再訪促進メール,開封のみ,100
CMP0073,C052,2026-05-19,QR決済ポイント還元,反応なし,0
CMP0074,C053,2026-04-23,QR決済ポイント還元,開封のみ,100
CMP0075,C053,2026-06-16,複数サービス横断ポイント施策,反応あり,300
CMP0076,C054,2026-02-16,カード利用特典案内,反応あり,300
CMP0077,C055,2026-03-18,カード利用特典案内,反応あり,500
CMP0078,C055,2026-05-31,複数サービス横断ポイント施策,反応あり,500
CMP0079,C055,2026-02-24,EC再訪促進メール,反応なし,300
CMP0080,C056,2026-04-28,QR決済ポイント還元,開封のみ,500
CMP0081,C056,2026-06-01,QR決済ポイント還元,反応あり,0
CMP0082,C057,2026-04-29,EC再訪促進メール,反応なし,300
CMP0083,C059,2026-06-03,EC再訪促進メール,開封のみ,0
CMP0084,C060,2026-06-28,複数サービス横断ポイント施策,反応あり,100
CMP0085,C060,2026-03-09,QR決済ポイント還元,反応あり,0
